站點,可借,可還,更新時間
YouBike2.0_秀朗成功路口,1,12,20220211162517
YouBike2.0_雙和橋,0,5,20220211163804
YouBike2.0_東海高中,1,5,20220211154712
YouBike2.0_新北市立圖書館三重分館,3,4,20220211163414
YouBike2.0_龍門公園,1,14,20220211162804
YouBike2.0_永福國小,3,4,20220211163613
YouBike2.0_太陽公園,1,10,20220211163520
YouBike2.0_輕軌崁頂站,1,7,20220211162117
YouBike2.0_中和公園,2,13,20220211163314
YouBike2.0_同安公園,1,12,20220211163613
YouBike2.0_二重國小,0,10,20220211163704
YouBike2.0_三民中山一路口,1,7,20220211162704
YouBike2.0_永安兒童公園,2,6,20220211155814
YouBike2.0_鷺江廣場,1,7,20220211164036
YouBike2.0_仁愛街70巷口,1,7,20220211163405
YouBike2.0_中興北街175巷口,6,3,20220211162415
YouBike2.0_淡水國民運動中心,9,8,20220211163414
YouBike2.0_保長公園,1,5,20220211151213
YouBike2.0_捷運先嗇宮站(2號出口),3,15,20220211155532
YouBike2.0_藍天大樓,1,9,20220211163713
YouBike2.0_淡水公23公園,3,5,20220211163414
YouBike2.0_捷運新店站,6,3,20220211163613
YouBike2.0_永盛公園,3,4,20220211164213
YouBike2.0_捷運三和國中站(1號出口),1,7,20220211163913
YouBike2.0_自強溪尾街口,0,10,20220211164204
YouBike2.0_臺大醫院金山分院,9,7,20220211090527
YouBike2.0_中山環金路口,1,8,20220211120812
YouBike2.0_金美國小,0,8,20220211155705
YouBike2.0_金山八德街,3,5,20220211090613
YouBike2.0_中角灣,2,6,20220211154312
YouBike2.0_捷運秀朗橋站,4,4,20220211163613
YouBike2.0_德光莒光路口,1,7,20220211163520
YouBike2.0_華江一華江九路口,0,15,20220211163047
YouBike2.0_板橋戶政事務所,7,1,20220211163414
YouBike2.0_汐止公園,0,10,20220211140704
YouBike2.0_汐止火車站停車場,7,5,20220211162714
YouBike2.0_崇德國小,2,5,20220211163057
YouBike2.0_長安橋(吉祥街12巷),0,5,20220211153037
YouBike2.0_上林里(環河東路一段),1,4,20220211164204
YouBike2.0_蘆洲延平派出所,3,4,20220211161816
YouBike2.0_碧潭西岸,0,7,20220211162105
YouBike2.0_青潭國小,3,2,20220211074914
YouBike2.0_光復國小,0,8,20220211164404
YouBike2.0_北港國小,0,7,20220211134204
YouBike2.0_康寧街307巷,4,12,20220211163057
YouBike2.0_忠山市民活動中心,0,12,20220211124519
YouBike2.0_碧華公園(集勇街),3,7,20220211164314
YouBike2.0_新北高中,0,20,20220211160339
YouBike2.0_中興寶慶街口,7,1,20220211161816
YouBike2.0_新和活動中心,0,6,20220211151804
YouBike2.0_瑞峰橋,5,5,20220211162213
YouBike2.0_國泰綜合醫院,5,3,20220211164213
YouBike2.0_三重五常公園,4,11,20220211141554
YouBike2.0_五福里(五華街),1,10,20220211163704
YouBike2.0_中正民權路口,2,10,20220211164314
YouBike2.0_惠國市場,0,8,20220211143904
YouBike2.0_中興中正路口,1,7,20220211164404
YouBike2.0_新店行政園區,1,6,20220211160115
YouBike2.0_光明街,1,6,20220211163047
YouBike2.0_捷運新店區公所站(1號出口),3,5,20220211162814
YouBike2.0_新北市立圖書館新店分館,3,4,20220211162814
YouBike2.0_安和公園,2,8,20220211163529
YouBike2.0_綠湖公園,1,7,20220211091527
YouBike2.0_安成安德街口,0,8,20220211133532
YouBike2.0_青潭河濱公園,1,7,20220210074312
YouBike2.0_安康立體停車場,1,7,20220211163204
YouBike2.0_中印青潭廠,2,5,20220211163913
YouBike2.0_捷運大坪林站(5號出口),2,13,20220211153914
YouBike2.0_裕隆公園,4,4,20220211163813
YouBike2.0_忠誠里(北新路2段97巷),1,19,20220211162117
YouBike2.0_新店公有中央市場,1,7,20220211162416
YouBike2.0_建國民權路口,6,7,20220211163613
YouBike2.0_安和市民活動中心,2,6,20220211164214
YouBike2.0_淡江大學(水源街),0,16,20220211154204
YouBike2.0_大鵬華城,1,7,20220211163058
YouBike2.0_淡水海關碼頭園區,0,10,20220211163047
YouBike2.0_正德國中,0,8,20220211162517
YouBike2.0_板橋國民運動中心,1,8,20220211163405
YouBike2.0_臺灣藝術大學,0,10,20220211161804
YouBike2.0_林本源園邸,4,4,20220211162714
YouBike2.0_埔墘國小,0,8,20220211164404
YouBike2.0_石雕公園,6,2,20220211164113
YouBike2.0_中山國中,0,7,20220211164404
YouBike2.0_振義里公園,2,6,20220211163529
YouBike2.0_民生中山路口,1,7,20220211164025
YouBike2.0_重慶國小,1,7,20220211163529
YouBike2.0_新北市藝文中心(文化路二段124巷),5,3,20220211164214
YouBike2.0_板橋中山公園,3,5,20220211164314
YouBike2.0_浮洲合宜住宅(合宜一路),4,4,20220211162135
YouBike2.0_民族二街明峰街口,0,7,20220211112104
YouBike2.0_康福公園,0,8,20220211115521
YouBike2.0_汐止火車站,3,8,20220211164213
YouBike2.0_橋東里(忠孝東路),4,3,20220211163529
YouBike2.0_崇德橋東活動中心,0,8,20220211133532
YouBike2.0_世貿國家公園社區,2,5,20220211163613
YouBike2.0_蘭庭序大廈,2,4,20220211162305
YouBike2.0_秀得里(成功路二段),0,8,20220211164304
YouBike2.0_文化白雲公園,1,7,20220211164025
YouBike2.0_連興龍安路口,2,6,20220211162416
YouBike2.0_南興公園,0,7,20220211163047
YouBike2.0_捷運府中站(1號出口),7,7,20220211164214
YouBike2.0_江翠國中,3,3,20220211163913
YouBike2.0_板橋第二運動場(皇翔建設),0,32,20220211163405
YouBike2.0_遠雄左岸,1,14,20220211163057
YouBike2.0_瓦磘溝(福真里),4,5,20220211164113
YouBike2.0_佳和公園,5,8,20220211163057
YouBike2.0_金龍國小,4,6,20220211162613
YouBike2.0_二重國中,5,3,20220211162526
YouBike2.0_蘆洲國民運動中心,5,11,20220211163714
YouBike2.0_永和國父紀念館,0,7,20220211163704
YouBike2.0_永和自由街,0,8,20220211154704
YouBike2.0_民權社區活動中心,0,8,20220211130104
YouBike2.0_白雲國小,0,7,20220211162804
YouBike2.0_三重商工,3,9,20220211164314
YouBike2.0_頂溪國小,1,7,20220211164025
YouBike2.0_保平路214巷,0,8,20220211160304
YouBike2.0_環河西路一段95巷口,0,8,20220211130104
YouBike2.0_忠孝活動中心,1,7,20220211155203
YouBike2.0_中和環球購物中心,1,5,20220211160115
YouBike2.0_華福市民活動中心,2,6,20220211161036
YouBike2.0_中和區公所,5,2,20220211163057
YouBike2.0_飛駝社區(興南路),1,9,20220211164304
YouBike2.0_安樂宜安路口,0,7,20220211164025
